initialization done
Initialization took 210.70384899999993 milliseconds
Edge from 147 to 174
Edge from 147 to 145
Edge from 148 to 149
Edge from 149 to 150
Edge from 149 to 162
Edge from 149 to 163
Edge from 149 to 164
Edge from 149 to 171
Edge from 149 to 172
Edge from 149 to 174
Edge from 150 to 151
Edge from 150 to 153
Edge from 150 to 155
Edge from 150 to 156
Edge from 150 to 159
Edge from 150 to 160
Edge from 150 to 161
Edge from 150 to 162
Edge from 150 to 163
Edge from 150 to 164
Edge from 150 to 171
Edge from 150 to 172
Edge from 150 to 174
Edge from 151 to 153
Edge from 151 to 155
Edge from 151 to 156
Edge from 151 to 159
Edge from 151 to 160
Edge from 151 to 161
Edge from 151 to 162
Edge from 151 to 163
Edge from 151 to 164
Edge from 151 to 172
Edge from 151 to 174
Edge from 152 to 153
Edge from 152 to 160
Edge from 152 to 161
Edge from 152 to 162
Edge from 152 to 163
Edge from 152 to 164
Edge from 152 to 172
Edge from 152 to 174
Edge from 152 to 151
Edge from 153 to 154
Edge from 153 to 155
Edge from 153 to 160
Edge from 153 to 161
Edge from 153 to 162
Edge from 153 to 163
Edge from 153 to 164
Edge from 154 to 155
Edge from 155 to 156
Edge from 155 to 160
Edge from 155 to 161
Edge from 155 to 162
Edge from 155 to 163
Edge from 155 to 164
Edge from 156 to 158
Edge from 156 to 159
Edge from 156 to 160
Edge from 156 to 161
Edge from 156 to 162
Edge from 156 to 163
Edge from 156 to 164
Edge from 157 to 158
Edge from 157 to 159
Edge from 157 to 160
Edge from 157 to 161
Edge from 157 to 162
Edge from 157 to 163
Edge from 157 to 164
Edge from 157 to 156
Edge from 158 to 159
Edge from 158 to 160
Edge from 158 to 162
Edge from 158 to 163
Edge from 159 to 160
Edge from 159 to 163
Edge from 160 to 161
Edge from 160 to 162
Edge from 160 to 163
Edge from 161 to 162
Edge from 161 to 163
Edge from 162 to 163
Edge from 163 to 164
Edge from 164 to 168
Edge from 164 to 170
Edge from 164 to 171
Edge from 164 to 172
Edge from 164 to 174
Edge from 165 to 166
Edge from 165 to 167
Edge from 165 to 164
Edge from 166 to 167
Edge from 166 to 164
Edge from 167 to 168
Edge from 167 to 164
Edge from 168 to 170
Edge from 168 to 172
Edge from 169 to 170
Edge from 169 to 168
Edge from 170 to 171
Edge from 170 to 172
Edge from 171 to 172
Edge from 172 to 173
Edge from 172 to 174
Edge from 173 to 174
Edge from 174 to 176
Edge from 174 to 177
Edge from 174 to 187
Edge from 174 to 188
Edge from 174 to 191
Edge from 174 to 192
Edge from 175 to 176
Edge from 175 to 174
Edge from 176 to 177
Edge from 176 to 187
Edge from 176 to 188
Edge from 176 to 191
Edge from 176 to 192
Edge from 177 to 178
Edge from 177 to 187
Edge from 177 to 188
Edge from 177 to 191
Edge from 177 to 192
Edge from 178 to 184
Edge from 178 to 185
Edge from 178 to 186
Edge from 178 to 187
Edge from 178 to 188
Edge from 178 to 191
Edge from 178 to 192
Edge from 179 to 184
Edge from 179 to 185
Edge from 179 to 186
Edge from 179 to 187
Edge from 179 to 192
Edge from 179 to 178
Edge from 180 to 183
Edge from 180 to 184
Edge from 180 to 186
Edge from 180 to 187
Edge from 180 to 192
Edge from 180 to 179
Edge from 181 to 183
Edge from 181 to 184
Edge from 181 to 186
Edge from 181 to 178
Edge from 181 to 179
Edge from 181 to 180
Edge from 182 to 183
Edge from 182 to 178
Edge from 182 to 179
Edge from 182 to 181
Edge from 183 to 184
Edge from 183 to 186
Edge from 183 to 178
Edge from 183 to 179
Edge from 184 to 185
Edge from 184 to 186
Edge from 185 to 186
Edge from 186 to 187
Edge from 187 to 188
Edge from 187 to 192
